codice_sku,nome_prodotto,marca,categoria,sottocategoria,unita_misura,quantita_disponibile,quantita_minima,stato_scorte,prezzo_acquisto_eur,prezzo_vendita_eur,margine_pct,iva_pct,fornitore,scaffale,data_scadenza
SKU10063,Piselli in scatola,Cirio,Conserve e Legumi,Condimenti,g,21,7,OK,1.9,2.85,50.0,10,Continental Trade,C03,2027-05-03
SKU10071,Patate a spicchi surgelate,Algida,Surgelati,Pesce surgelato,conf,237,11,OK,14.92,20.78,39.3,10,Import & Export Frescura,G13,2028-06-20
SKU10077,Crostatine alla marmellata,Ferrero,Dolci e Snack,Cioccolato,conf,5,15,CRITICO,3.65,4.53,24.1,22,BioItalia Srl,A02,2026-12-05
SKU10078,Orata intera,Rio Mare,Pesce,Molluschi,g,71,12,OK,24.11,28.41,17.8,10,BioItalia Srl,J04,2026-06-30
SKU10086,Trota filetto,Callipo,Pesce,Pesce conservato,g,90,18,OK,5.57,6.62,18.9,10,Mediterr. Foods,A14,2026-07-08
SKU10088,Pomodori ramati,Benessere,Frutta e Verdura,Funghi,conf,48,11,OK,22.48,26.83,19.4,4,Frigo Transport SpA,D02,2026-07-02
SKU10096,Orata intera,Callipo,Pesce,Molluschi,conf,12,8,OK,22.68,33.85,49.3,10,Distribuzione Sud Srl,B09,2026-07-10
SKU10100,Prosciutto cotto alta qualità,Natura+,Carne,Salumi,kg,42,6,OK,6.22,8.15,31.0,10,Frigo Transport SpA,E08,2026-07-10
SKU10108,Riso Carnaroli 1kg,Buitoni,Pasta e Riso,Cereali secchi,g,169,22,OK,26.82,41.52,54.8,4,BioItalia Srl,F01,2027-08-02
SKU10109,Vino rosso Chianti 750ml,Peroni,Bevande,Alcol,ml,149,6,OK,1.99,2.54,27.6,22,Distribuzione Sud Srl,I11,2027-03-15
SKU10112,Parmigiano Reggiano 24m,Danone,Latticini e Uova,Uova,g,63,23,OK,24.17,31.7,31.2,10,Distribuzione Sud Srl,K09,2026-07-08
SKU10119,Origano,Star,Condimenti e Spezie,Salse,ml,171,11,OK,14.78,22.52,52.4,10,Import & Export Frescura,G12,2027-02-05
SKU10124,Cioccolato bianco,Mulino Bianco,Dolci e Snack,Biscotti,conf,25,23,OK,0.56,0.78,39.3,22,BioItalia Srl,I10,2027-06-22
SKU10127,Passata di pomodoro 700ml,Cirio,Conserve e Legumi,Verdure conservate,pz,180,22,OK,10.54,12.79,21.3,10,Continental Trade,A03,2028-11-05
SKU10136,Pasta fresca all'uovo,Barilla,Pasta e Riso,Pasta corta,g,227,8,OK,26.31,31.67,20.4,4,Import & Export Frescura,E13,2028-09-02
SKU10140,Crema idratante viso 50ml,L'Oréal,Igiene Personale,Igiene orale,ml,125,21,OK,19.34,28.84,49.1,22,Nord Food SpA,K13,2029-11-09
SKU10145,Mele Golden,Bonduelle,Frutta e Verdura,Funghi,pz,41,13,OK,21.66,30.43,40.5,4,Continental Trade,A03,2026-06-29
SKU10147,Gel doccia neutro 500ml,Gillette,Igiene Personale,Rasatura,ml,37,22,OK,1.3,1.69,30.0,22,Distribuzione Sud Srl,F04,2029-07-11
SKU10148,Fagioli cannellini in scatola,Cirio,Conserve e Legumi,Condimenti,pz,226,22,OK,18.77,24.24,29.1,10,Agrimax Coop,E01,2029-05-26
SKU10151,Pastiglie lavastoviglie x30,Regina,Pulizia Casa,Carta casa,L,200,15,OK,0.99,1.43,44.4,22,Import & Export Frescura,C11,2028-02-02
SKU10158,Salvia,Bonduelle,Frutta e Verdura,Erbe aromatiche,conf,89,19,OK,6.46,9.54,47.7,4,BioItalia Srl,A07,2026-07-08
SKU10162,Cracker classici,Gran Cereale,Pane e Bakery,Fette biscottate,conf,89,13,OK,24.24,37.25,53.7,10,Frigo Transport SpA,L09,2026-08-06
SKU10168,Kiwi,Bonduelle,Frutta e Verdura,Frutta fresca,pz,9,13,CRITICO,5.25,8.06,53.5,4,Macro Distribuzione,F06,2026-07-04
SKU10177,Panna acida,Müller,Latticini e Uova,Uova,g,0,18,ESAURITO,5.57,6.5,16.7,10,BioItalia Srl,G04,2026-07-30
SKU10179,Senape 200g,Star,Condimenti e Spezie,Salse,g,230,28,OK,9.0,13.4,48.9,10,Import & Export Frescura,L06,2027-11-16
SKU10185,Grissini integrali,Galbusera,Pane e Bakery,Fette biscottate,g,173,17,OK,5.61,7.94,41.5,10,Fresh Logistics Srl,J11,2026-07-22
SKU10192,Spinaci surgelati 1kg,Algida,Surgelati,Piatti pronti,kg,155,23,OK,8.25,10.91,32.2,10,Mediterr. Foods,H09,2027-03-31
SKU10201,Pistacchi tostati,Kinder,Dolci e Snack,Merendine,g,169,21,OK,5.0,5.92,18.4,22,BioItalia Srl,L08,2027-08-07
SKU10205,Brillantante lavastoviglie,Fairy,Pulizia Casa,Detersivi lavatrice,pz,156,20,OK,0.98,1.22,24.5,22,Frigo Transport SpA,K12,2028-07-28
SKU10212,Ferrero Rocher 16pz,Pavesi,Dolci e Snack,Biscotti,pz,220,29,OK,4.39,6.26,42.6,22,BioItalia Srl,D01,2028-03-07
SKU10220,Melanzane,MarcaRe,Frutta e Verdura,Erbe aromatiche,pz,135,26,OK,12.94,19.03,47.1,4,Fresh Logistics Srl,I10,2026-07-04
SKU10229,Digestive McVitie's,Kinder,Dolci e Snack,Merendine,conf,63,29,OK,24.16,32.13,33.0,22,Mediterr. Foods,K11,2027-05-26
SKU10234,Pan di Stelle 350g,Kinder,Dolci e Snack,Biscotti,g,228,15,OK,8.21,10.33,25.8,22,Agrimax Coop,D15,2027-10-21
SKU10237,Sapone solido 100g,Nivea,Igiene Personale,Detersivi corpo,ml,106,19,OK,11.79,15.12,28.2,22,Frigo Transport SpA,G10,2027-08-05
SKU10244,Biscotti frollini 700g,Bauli,Dolci e Snack,Cioccolato,pz,137,18,OK,8.57,11.19,30.6,22,BioItalia Srl,E10,2027-12-14
SKU10252,Mirtilli,Bonduelle,Frutta e Verdura,Funghi,conf,42,28,OK,18.83,27.67,46.9,4,Fresh Logistics Srl,J02,2026-06-28
SKU10259,Acqua tonica,Nestlé Pure Life,Bevande,Acqua,cl,46,19,OK,2.63,3.48,32.3,22,Frigo Transport SpA,F09,2027-07-27
SKU10267,Mais in scatola,Heinz,Conserve e Legumi,Pomodoro,ml,64,18,OK,8.01,12.26,53.1,10,Distribuzione Sud Srl,J04,2027-02-14
SKU10273,Orata intera,MarcaRe,Pesce,Pesce fresco,conf,214,11,OK,21.19,32.42,53.0,10,Agrimax Coop,E02,2026-06-30
SKU10281,Aceto di vino bianco 500ml,Star,Condimenti e Spezie,Salse,ml,196,13,OK,26.55,35.47,33.6,10,Fresh Logistics Srl,K06,2027-01-19
SKU10284,Penne rigate 500g,Arborio,Pasta e Riso,Cereali secchi,kg,232,26,OK,1.01,1.29,27.7,4,BioItalia Srl,B05,2028-08-20
SKU10288,Camembert,Yomo,Latticini e Uova,Latte,pz,144,30,OK,19.25,28.34,47.2,10,Continental Trade,H05,2026-07-26
SKU10290,Pizza margherita surgelata,Findus,Surgelati,Piatti pronti,conf,110,8,OK,23.83,35.24,47.9,10,Mediterr. Foods,C10,2027-11-13
SKU10293,Dentifricio classico 75ml,Head & Shoulders,Igiene Personale,Rasatura,g,198,22,OK,7.78,11.46,47.3,22,Frigo Transport SpA,K02,2028-12-26
SKU10299,Orata intera,Callipo,Pesce,Molluschi,conf,145,19,OK,24.72,30.84,24.8,10,Frigo Transport SpA,F12,2026-06-28
SKU10307,Fagioli borlotti in scatola,Heinz,Conserve e Legumi,Verdure conservate,pz,71,15,OK,6.18,9.08,46.9,10,Distribuzione Sud Srl,I13,2027-07-06
SKU10309,Calamari,Callipo,Pesce,Molluschi,g,165,20,OK,15.68,19.54,24.6,10,Mediterr. Foods,A05,2026-06-29
SKU10314,Cozze,EasyShop,Pesce,Molluschi,g,141,20,OK,8.78,12.14,38.3,10,Frigo Transport SpA,J06,2026-07-03
SKU10320,Rasoio usa e getta x3,Dove,Igiene Personale,Igiene orale,ml,49,28,OK,8.79,10.92,24.2,22,Continental Trade,L12,2028-07-09
SKU10324,Trota filetto,Callipo,Pesce,Pesce conservato,kg,152,21,OK,20.37,31.38,54.1,10,BioItalia Srl,F01,2026-07-01
SKU10330,Braciole di maiale,Amadori,Carne,Bovino,pz,249,6,OK,19.91,23.9,20.0,10,Import & Export Frescura,L14,2026-06-30
SKU10338,Latte intero UHT,Müller,Latticini e Uova,Latte,pz,47,15,OK,8.18,10.97,34.1,10,Mediterr. Foods,B15,2026-07-07
SKU10345,Pan di Stelle 350g,Nestlé,Dolci e Snack,Merendine,g,207,9,OK,17.74,20.78,17.1,22,BioItalia Srl,C01,2028-04-17
SKU10352,Birra Peroni 33cl,Moretti,Bevande,Alcol,cl,232,19,OK,6.55,8.9,35.9,22,Fresh Logistics Srl,H05,2027-10-31
SKU10353,Vino rosso Chianti 750ml,Levissima,Bevande,Acqua,ml,67,11,OK,26.55,32.74,23.3,22,BioItalia Srl,C15,2028-07-10
SKU10355,Fettine di manzo,Natura+,Carne,Pollame,pz,59,6,OK,19.4,25.96,33.8,10,Import & Export Frescura,L15,2026-07-05
SKU10357,Pesto alla genovese 190g,Filippo Berio,Condimenti e Spezie,Aceto,L,205,26,OK,22.12,30.97,40.0,10,Nord Food SpA,J05,2027-05-12
SKU10360,Fusilli 500g,Barilla,Pasta e Riso,Riso,kg,191,24,OK,1.95,2.86,46.7,4,Nord Food SpA,H15,2028-11-27
SKU10365,Crema mani 100ml,Dove,Igiene Personale,Detersivi corpo,g,153,7,OK,14.16,19.08,34.7,22,Macro Distribuzione,K05,2028-11-19
SKU10366,Asiago,Danone,Latticini e Uova,Burro e Panna,g,195,5,OK,23.46,32.38,38.0,10,Distribuzione Sud Srl,C15,2026-08-02
SKU10375,Sale fino 1kg,Filippo Berio,Condimenti e Spezie,Spezie,ml,208,25,OK,5.33,7.38,38.5,10,Mediterr. Foods,F15,2027-11-16
SKU10381,Dado di carne,Mutti,Conserve e Legumi,Verdure conservate,pz,126,27,OK,24.06,30.84,28.2,10,Frigo Transport SpA,J06,2027-01-29
SKU10389,Burro 125g,Parmigiano Reggiano,Latticini e Uova,Uova,L,221,17,OK,9.25,14.23,53.8,10,Continental Trade,H14,2026-07-29
SKU10390,Vongole,Natura+,Pesce,Molluschi,kg,68,11,OK,17.62,25.62,45.4,10,Import & Export Frescura,H08,2026-07-09
SKU10398,Latte parzialmente scremato,Danone,Latticini e Uova,Uova,L,79,10,OK,17.17,21.39,24.6,10,Continental Trade,G15,2026-07-08
SKU10402,Yogurt greco alla vaniglia,Granarolo,Latticini e Uova,Uova,pz,74,27,OK,18.24,22.1,21.2,10,Frigo Transport SpA,I04,2026-08-02
SKU10406,Plumcake,Pavesi,Dolci e Snack,Cioccolato,g,191,21,OK,10.93,16.6,51.9,22,Import & Export Frescura,H02,2027-09-07
SKU10415,Spaghetti n.5 500g,Garofalo,Pasta e Riso,Cereali secchi,g,168,23,OK,20.41,30.31,48.5,4,Mediterr. Foods,J03,2028-05-01
SKU10421,Carciofi sott'olio,Star,Conserve e Legumi,Legumi,pz,178,11,OK,10.75,16.37,52.3,10,Frigo Transport SpA,D15,2029-05-17
SKU10428,Mango,Natura+,Frutta e Verdura,Verdura fresca,pz,169,17,OK,19.83,29.24,47.5,4,Distribuzione Sud Srl,C03,2026-07-06
SKU10434,Yogurt greco naturale,Granarolo,Latticini e Uova,Yogurt,conf,36,28,OK,14.87,19.82,33.3,10,Nord Food SpA,I01,2026-07-19
SKU10440,Birra analcolica,Barilla,Bevande,Alcol,cl,219,26,OK,18.3,27.28,49.1,22,Mediterr. Foods,J04,2027-01-28
SKU10442,Baccalà secco,Rio Mare,Pesce,Molluschi,conf,194,8,OK,20.99,27.78,32.3,10,Nord Food SpA,H09,2026-06-30
SKU10447,Pere Williams,Bonduelle,Frutta e Verdura,Verdura fresca,conf,110,16,OK,22.35,28.33,26.8,4,Continental Trade,H01,2026-07-07
SKU10450,Cosce di pollo,Amadori,Carne,Salumi,pz,61,26,OK,17.18,22.39,30.3,10,Agrimax Coop,D15,2026-07-05
SKU10455,Cioccolato al latte 100g,Kinder,Dolci e Snack,Cioccolato,g,173,14,OK,0.56,0.82,46.4,22,Mediterr. Foods,F14,2028-05-17
SKU10460,Salsa Worcester,Knorr,Condimenti e Spezie,Spezie,ml,98,11,OK,7.23,10.76,48.8,10,BioItalia Srl,G08,2028-05-01
SKU10466,Limonata Sanpellegrino 330ml,Fanta,Bevande,Acqua,L,70,17,OK,0.91,1.35,48.4,22,Fresh Logistics Srl,I08,2029-04-23
SKU10471,Sale per lavastoviglie,Scottex,Pulizia Casa,Detersivi cucina,ml,173,13,OK,6.37,7.81,22.6,22,Distribuzione Sud Srl,F05,2029-12-14
SKU10472,Succo di pesca,Sanpellegrino,Bevande,Bibite,ml,106,28,OK,2.8,3.55,26.8,22,Agrimax Coop,J04,2029-06-07
SKU10478,Gelato cioccolato 1L,Algida,Surgelati,Piatti pronti,conf,247,20,OK,23.3,29.19,25.3,10,Macro Distribuzione,B15,2027-12-17
SKU10480,Guanciale stagionato,Beretta,Carne,Pollame,kg,247,17,OK,24.13,34.74,44.0,10,Frigo Transport SpA,A04,2026-07-02
SKU10489,Yogurt greco alla vaniglia,Parmigiano Reggiano,Latticini e Uova,Burro e Panna,L,97,23,OK,18.94,26.87,41.9,10,BioItalia Srl,I01,2026-07-04
SKU10498,Brodo vegetale,Cirio,Conserve e Legumi,Verdure conservate,pz,232,19,OK,18.24,25.61,40.4,10,Frigo Transport SpA,B15,2027-05-15
SKU10499,Avocado,Bonduelle,Frutta e Verdura,Funghi,pz,34,22,OK,3.52,4.38,24.4,4,Macro Distribuzione,L07,2026-07-09
SKU10508,Crackers senza glutine,Galbusera,Pane e Bakery,Grissini e Crackers,pz,157,20,OK,24.83,35.06,41.2,10,Distribuzione Sud Srl,L12,2026-07-26
SKU10512,Nutella 750g,Pavesi,Dolci e Snack,Merendine,g,94,26,OK,24.0,28.55,19.0,22,Frigo Transport SpA,E11,2027-04-06
SKU10514,Pan di Stelle 350g,Kinder,Dolci e Snack,Merendine,g,12,5,OK,6.18,8.69,40.6,22,Agrimax Coop,J10,2027-04-22
SKU10516,Carta igienica x12,Lysoform,Pulizia Casa,Detersivi cucina,rotoli,84,12,OK,16.54,24.4,47.5,22,Distribuzione Sud Srl,E11,2028-04-17
SKU10519,Gamberetti surgelati,Bird's Eye,Surgelati,Piatti pronti,g,3,9,CRITICO,3.34,5.0,49.7,10,Fresh Logistics Srl,F08,2026-09-10
SKU10522,Spaghetti integrali 500g,De Cecco,Pasta e Riso,Cereali secchi,kg,16,28,CRITICO,20.85,28.37,36.1,4,Macro Distribuzione,I12,2028-08-21
SKU10524,Crostatine alla marmellata,Pavesi,Dolci e Snack,Merendine,pz,232,30,OK,26.49,30.92,16.7,22,Distribuzione Sud Srl,B01,2028-01-27
SKU10531,Panini al latte,Natura+,Pane e Bakery,Pane,g,37,24,OK,2.34,2.77,18.4,10,Import & Export Frescura,K10,2026-08-09
SKU10540,Crema idratante viso 50ml,Oral-B,Igiene Personale,Rasatura,ml,129,19,OK,27.85,37.94,36.2,22,Nord Food SpA,L03,2028-09-08
SKU10547,Wafer al cioccolato,Ferrero,Dolci e Snack,Biscotti,pz,186,18,OK,9.69,12.9,33.1,22,Frigo Transport SpA,F06,2027-06-12
SKU10553,Wurstel classici,MarcaRe,Carne,Pollame,kg,24,18,OK,2.83,3.35,18.4,10,Continental Trade,B01,2026-07-07
SKU10562,Pizza margherita surgelata,Findus,Surgelati,Verdure surgelate,kg,108,29,OK,11.68,17.51,49.9,10,Fresh Logistics Srl,F05,2027-08-20
SKU10564,Tè freddo alla pesca,Coca-Cola,Bevande,Succhi,L,89,8,OK,4.59,6.16,34.2,22,Import & Export Frescura,J12,2027-08-11
SKU10571,Gelato alla fragola 500ml,Rana,Surgelati,Piatti pronti,g,237,24,OK,19.0,26.08,37.3,10,Agrimax Coop,E10,2027-07-07
SKU10577,Pomodori pelati 400g,Cirio,Conserve e Legumi,Legumi,pz,17,17,OK,24.4,33.59,37.7,10,Distribuzione Sud Srl,B09,2029-01-25
SKU10586,Cozze,Callipo,Pesce,Pesce conservato,conf,184,14,OK,12.87,15.61,21.3,10,Fresh Logistics Srl,B07,2026-06-28
SKU10589,Guanciale stagionato,Amadori,Carne,Salumi,pz,108,26,OK,18.97,23.88,25.9,10,Mediterr. Foods,H02,2026-07-02
SKU10593,Carta cucina 2 rotoli,Dash,Pulizia Casa,Carta casa,rotoli,173,26,OK,9.86,11.78,19.5,22,Import & Export Frescura,A12,2028-09-19
SKU10600,"Acqua frizzante 1,5L",Nestlé Pure Life,Bevande,Succhi,cl,35,29,OK,5.96,9.11,52.9,22,Macro Distribuzione,C01,2026-12-30
SKU10608,Latte solare SPF30,L'Oréal,Igiene Personale,Igiene orale,ml,128,12,OK,3.88,5.29,36.3,22,Frigo Transport SpA,A11,2029-12-05
SKU10609,Pan di Stelle 350g,Bauli,Dolci e Snack,Snack salati,pz,163,27,OK,16.25,22.41,37.9,22,Nord Food SpA,G14,2026-10-15
SKU10615,Pancetta affumicata,Benessere,Carne,Salumi,pz,111,12,OK,2.74,4.08,48.9,10,Nord Food SpA,G12,2026-07-02
SKU10621,Gamberi surgelati,Rio Mare,Pesce,Pesce fresco,g,130,21,OK,2.42,3.4,40.5,10,Macro Distribuzione,L01,2026-06-30
SKU10625,Mascarpone,Parmigiano Reggiano,Latticini e Uova,Latte,conf,194,29,OK,5.76,8.01,39.1,10,Mediterr. Foods,H14,2026-08-08
SKU10633,Dado granulare,Star,Condimenti e Spezie,Salse,ml,221,15,OK,18.11,27.97,54.4,10,Mediterr. Foods,B03,2028-01-17
SKU10641,Maionese 250g,Filippo Berio,Condimenti e Spezie,Spezie,L,79,7,OK,16.68,21.53,29.1,10,Distribuzione Sud Srl,A15,2027-10-06
SKU10646,Grana Padano DOP,Müller,Latticini e Uova,Latte,kg,141,23,OK,16.76,21.85,30.4,10,Fresh Logistics Srl,L02,2026-07-15
SKU10652,Tè freddo al limone,Peroni,Bevande,Succhi,L,207,8,OK,4.48,5.26,17.4,22,Continental Trade,L01,2027-06-17
SKU10653,Polpo,Callipo,Pesce,Pesce conservato,g,95,16,OK,14.82,20.66,39.4,10,Frigo Transport SpA,F12,2026-07-08
SKU10654,Sacchi immondizia 50L x20,Scottex,Pulizia Casa,Superfici,g,98,26,OK,2.13,2.53,18.8,22,Fresh Logistics Srl,C09,2029-05-08
SKU10656,Birra artigianale IPA,Sanpellegrino,Bevande,Alcol,ml,178,25,OK,25.69,32.73,27.4,22,Fresh Logistics Srl,B07,2027-11-05
SKU10665,Cracker classici,Galbusera,Pane e Bakery,Fette biscottate,g,175,28,OK,18.86,27.94,48.1,10,Frigo Transport SpA,I11,2026-07-26
SKU10666,Piselli in scatola,Cirio,Conserve e Legumi,Legumi,g,124,29,OK,26.65,34.29,28.7,10,Agrimax Coop,C10,2027-03-12
SKU10671,Detersivo piatti liquido 500ml,Ariel,Pulizia Casa,Carta casa,L,33,24,OK,18.64,27.97,50.1,22,Agrimax Coop,D02,2028-05-30
SKU10679,Pomodori ciliegini,Bonduelle,Frutta e Verdura,Erbe aromatiche,pz,156,19,OK,19.04,23.71,24.5,4,BioItalia Srl,J02,2026-07-01
SKU10684,Spugna cucina x4,Lysoform,Pulizia Casa,Superfici,pz,118,19,OK,10.49,16.04,52.9,22,Continental Trade,J01,2029-10-30
SKU10687,Tonno in scatola al naturale,Callipo,Pesce,Pesce fresco,conf,141,16,OK,1.75,2.35,34.3,10,Continental Trade,C02,2026-07-02
SKU10689,Pastiglie lavastoviglie x30,Ace,Pulizia Casa,Detersivi cucina,pz,23,18,OK,12.75,17.28,35.5,22,Macro Distribuzione,A07,2029-10-22
SKU10690,Fette biscottate integrali,Gran Cereale,Pane e Bakery,Pane,pz,57,16,OK,6.83,10.57,54.8,10,Nord Food SpA,L02,2026-07-24
SKU10693,Macinato di manzo,Fiorucci,Carne,Salumi,conf,194,9,OK,25.71,34.43,33.9,10,Fresh Logistics Srl,A02,2026-06-29
SKU10694,Farfalle 500g,De Cecco,Pasta e Riso,Pasta corta,kg,108,21,OK,15.5,22.33,44.1,4,BioItalia Srl,F03,2027-04-26
SKU10695,Calamari,SmartBuy,Pesce,Molluschi,kg,152,20,OK,12.96,15.48,19.4,10,Continental Trade,J13,2026-07-01
SKU10698,Riso Carnaroli 1kg,Barilla,Pasta e Riso,Pasta corta,kg,47,18,OK,17.33,21.6,24.6,4,Nord Food SpA,I15,2028-07-02
SKU10707,Carta cucina 2 rotoli,Ariel,Pulizia Casa,Superfici,g,99,25,OK,11.12,14.88,33.8,22,Distribuzione Sud Srl,G02,2027-11-11
SKU10713,Merluzzo filetto,Benessere,Pesce,Molluschi,kg,208,15,OK,4.0,5.16,29.0,10,Mediterr. Foods,L14,2026-07-05
SKU10716,Detersivo lavastoviglie polvere 3kg,Dash,Pulizia Casa,Detersivi cucina,ml,75,6,OK,20.13,30.75,52.8,22,BioItalia Srl,A11,2029-04-02
SKU10721,Lasagne alla bolognese surgelate,Rana,Surgelati,Piatti pronti,kg,48,25,OK,13.41,15.62,16.5,10,Distribuzione Sud Srl,L03,2027-07-30
SKU10726,Panna UHT,Sterilgarda,Latticini e Uova,Formaggi,kg,86,17,OK,24.94,36.1,44.7,10,Mediterr. Foods,G05,2026-08-05
SKU10731,Ammorbidente 1L,Regina,Pulizia Casa,Superfici,g,139,10,OK,2.49,3.46,39.0,22,Nord Food SpA,B06,2029-04-27
SKU10736,Riso Basmati 500g,Arborio,Pasta e Riso,Cereali secchi,g,89,19,OK,20.18,24.55,21.7,4,Macro Distribuzione,K08,2028-03-12
SKU10741,Noce moscata,Bertolli,Condimenti e Spezie,Aceto,ml,131,16,OK,2.38,3.34,40.3,10,Agrimax Coop,K06,2027-12-16
SKU10742,Bistecca di manzo,Beretta,Carne,Bovino,pz,243,17,OK,21.86,28.34,29.6,10,Agrimax Coop,L09,2026-07-05
SKU10748,Cetriolini sott'aceto,Mutti,Conserve e Legumi,Verdure conservate,g,80,17,OK,16.2,22.06,36.2,10,Nord Food SpA,A07,2029-01-14
SKU10751,Crostatine alla marmellata,Ferrero,Dolci e Snack,Snack salati,g,66,29,OK,25.61,30.66,19.7,22,Fresh Logistics Srl,E14,2028-02-08
SKU10755,Ricotta vaccina,Yomo,Latticini e Uova,Latte,pz,113,27,OK,2.35,2.86,21.7,10,Macro Distribuzione,B02,2026-08-07
SKU10764,Tagliatelle 500g,De Cecco,Pasta e Riso,Riso,g,44,25,OK,20.02,30.45,52.1,4,Nord Food SpA,D07,2029-03-13
SKU10767,Trota filetto,Rio Mare,Pesce,Molluschi,kg,205,19,OK,10.3,14.2,37.9,10,Fresh Logistics Srl,B08,2026-06-29
SKU10772,Fette biscottate classiche,Natura+,Pane e Bakery,Pane,pz,164,15,OK,23.11,27.26,18.0,10,Mediterr. Foods,L10,2026-08-05
SKU10778,Guanciale stagionato,Beretta,Carne,Bovino,kg,233,21,OK,21.57,25.92,20.2,10,Continental Trade,C10,2026-07-02
SKU10781,Lonza di maiale,Beretta,Carne,Bovino,conf,216,14,OK,9.88,15.08,52.6,10,BioItalia Srl,K13,2026-07-06
SKU10786,Wurstel di pollo,Fiorucci,Carne,Suino,kg,43,25,OK,17.32,20.57,18.8,10,Fresh Logistics Srl,K05,2026-07-03
SKU10787,Limoni,SmartBuy,Frutta e Verdura,Frutta fresca,pz,106,23,OK,7.63,9.42,23.5,4,Continental Trade,E15,2026-07-08
SKU10792,Wafer al cioccolato,Kinder,Dolci e Snack,Cioccolato,pz,15,27,CRITICO,11.55,15.38,33.2,22,Frigo Transport SpA,I04,2028-01-12
SKU10796,Brodo vegetale,Cirio,Conserve e Legumi,Verdure conservate,ml,220,28,OK,8.96,12.88,43.8,10,Agrimax Coop,G05,2028-06-02
SKU10805,Burro 125g,Grana Padano DOP,Latticini e Uova,Latte,L,36,12,OK,13.22,16.62,25.7,10,Import & Export Frescura,G09,2026-07-29
SKU10809,Lonza di maiale,Fiorucci,Carne,Salumi,conf,119,21,OK,5.56,6.75,21.4,10,Mediterr. Foods,A06,2026-06-29
SKU10816,Risotto ai funghi surgel.,Bird's Eye,Surgelati,Gelati,conf,72,6,OK,6.26,8.08,29.1,10,Mediterr. Foods,E14,2028-02-25
SKU10817,Yogurt ai frutti di bosco,Grana Padano DOP,Latticini e Uova,Burro e Panna,L,103,29,OK,24.74,35.65,44.1,10,Frigo Transport SpA,A14,2026-08-08
SKU10826,Vongole,Benessere,Pesce,Pesce conservato,conf,140,29,OK,2.34,3.16,35.0,10,Fresh Logistics Srl,C01,2026-06-30
SKU10828,Cracker integrali,Gran Cereale,Pane e Bakery,Fette biscottate,conf,50,9,OK,15.75,20.42,29.7,10,Frigo Transport SpA,I09,2026-07-05
SKU10829,Uva bianca,Benessere,Frutta e Verdura,Verdura fresca,mazzo,155,9,OK,22.57,30.64,35.8,4,Fresh Logistics Srl,F07,2026-06-30
SKU10836,Vino rosso Chianti 750ml,Fanta,Bevande,Alcol,cl,136,21,OK,16.75,22.66,35.3,22,Mediterr. Foods,A05,2028-01-04
SKU10842,Aceto di vino bianco 500ml,Heinz,Condimenti e Spezie,Olio,g,223,28,OK,16.47,24.19,46.9,10,Mediterr. Foods,E08,2028-05-08
SKU10846,Shampoo antiforfora 400ml,Gillette,Igiene Personale,Rasatura,ml,158,28,OK,13.61,18.51,36.0,22,BioItalia Srl,A09,2028-02-06
